Name;CAS;Structure;Boiling Point (°C);Melting Point (°C);Molecular Weight (g/mol);density (g/mL);alpha;beta;gamma;Dimroth ET;Dielectric constant;Dipole moment (D);LogP;Water Miscibility;H-phrases;Oxidation resistance;Reduction resistance;Acid resistance;Basic resistance
butanol;71-36-3;71-36-3.png;117.7;-89.8;74.12;0.81;0.84;0.84;0.47;47.9;17.5;1.7;0.88;Slightly;H226 H302 H318 H335 H336;Yes;Yes;Yes;Yes
ethanol;64-17-5;64-17-5.png;78.3;-114.1;46.07;0.789;0.86;0.75;0.54;51.9;24.5;1.69;N/A;Total;H225 H319;Yes;Yes;Yes;Yes
ethanediol;107-21-1;107-21-1.png;197.3;-12.9;62.07;1.113;0.9;0.52;0.92;N/A;37;2.2;N/A;Total;H302;Yes;Yes;Yes;Yes
3-methyl-1-octyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide;174899-66-2;174899-66-2.png;N/A;N/A;473.49;1.32;0.97;0.28;0.97;N/A;N/A;N/A;5.9;No;H315 H319;No;Yes;No;No
methanol;67-56-1;67-56-1.png;64.7;-97.6;32.04;0.792;0.98;0.66;0.6;55.5;33;1.7;N/A;Total;H225 H301 H311 H331 H370;Yes;Yes;Yes;Yes
butanoic acid;107-92-6;107-92-6.png;163.5;-4;88.11;0.96;1.1;0.45;0.56;N/A;2.98;1.5;0.79;Slightly;H314;Yes;Yes;Yes;Yes
acetic acid;64-19-7;64-19-7.png;118.1;16.6;60.05;1.049;1.12;0.45;0.64;48.6;6.19;1.74;N/A;Total;H226 H314;Yes;Yes;Yes;Yes
propanoic acid;79-09-4;79-09-4.png;141.1;-20.7;74.08;0.993;1.12;0.45;0.58;N/A;3.25;1.5;0.33;Total;H314;Yes;Yes;Yes;Yes
3-methylphenol;108-39-4;108-39-4.png;202.8;11.5;108.14;1.033;1.13;0.34;0.68;N/A;9.9;1.4;1.96;Slightly;H302 H311 H331 H314 H411;Yes;No;No;Yes
water;7732-18-5;7732-18-5.png;100;0;18.015;1.0;1.17;0.47;1.09;63.1;78.5;1.85;-0.8;Total;N/A;Yes;Yes;Yes;Yes
pentanoic acid;109-52-4;109-52-4.png;186; -34.5; 102.13; 0.941;1.19;0.45;0.54;N/A;2.6;1.5;1.39;Slightly;H314;Yes;Yes;Yes;Yes
heptanoic acid;111-14-8;111-14-8.png;223; -7.5; 130.19; 0.918;1.2;0.45;0.5;N/A;2.4;1.4;2.58;No;H314;Yes;Yes;Yes;Yes
1,2,3-propanetriol;56-81-5;56-81-5.png;290;17.8;92.09;1.261;1.21;0.51;0.62;N/A;42.5;2.5;N/A;Total;N/A;Yes;Yes;Yes;Yes
hexanoic acid;142-62-1;142-62-1.png;205.8;-3.4;116.16;0.927;1.22;0.45;0.52;N/A;2.5;1.5;1.9;Slightly;H314;Yes;Yes;Yes;Yes
formic acid;64-18-6;64-18-6.png;100.8;8.4;46.03;1.22;1.23;0.38;0.65;N/A;58;1.4;N/A;Total;H226 H314 H302 H331;Yes;Yes;Yes;Yes
2-chloroethanol;107-07-3;107-07-3.png;128.7;-67.5;80.51;1.2;1.28;0.53;0.46;N/A;27.7;2;0.05;Total;H301 H311 H331;No;Yes;No;Yes
2,2,2-trifluoroethanol;75-89-8;75-89-8.png;73.8;-43.5;100.04;1.39;1.51;0;0.73;N/A;26.4;1.8;0.33;Total;H302 H312 H332 H315 H319 H335;No;Yes;No;Yes
3-chlorophenol;108-43-0;108-43-0.png;214;33;128.56;1.26;1.57;0.23;0.77;N/A;13.3;1.5;2.1;Slightly;H302 H311 H331 H314 H411;Yes;No;No;Yes
4-methylphenol;106-44-5;106-44-5.png;201.9;35.5;108.14;1.034;1.64;0.34;0.68;N/A;10.5;1.4;1.94;Slightly;H302 H311 H331 H314 H411;Yes;No;No;Yes
phenol;108-95-2;108-95-2.png;181.7;40.9;94.11;1.07;1.65;0.3;0.72;44.1;9.7;1.4;1.46;Slightly;H301 H311 H331 H314 H341 H370 H372 H411;Yes;No;No;Yes
1,1,1,3,3,3-hexafluoro-2-propanol;920-66-1;920-66-1.png;58.2;-3.5;168.04;1.6;1.96;0;0.65;N/A;16.7;1.8;1.8;Total;H302 H312 H332 H315 H319 H335;No;Yes;No;Yes
